State,PERMVIT,COUNTY,CITY,DAY,MONTH,DAY_WEEK,HOUR,MINUTE,LGT_COND,WEATHER,DRUNK_DR,FATALS
4,1,21,405,9,1,6,0,42,2,1,1,1
4,3,21,110,9,1,6,7,8,4,10,0,1
4,2,13,290,9,1,6,23,40,3,1,2,1
4,2,21,297,12,1,2,8,30,1,10,1,1
4,2,13,420,14,1,4,22,3,3,1,1,1
4,3,13,190,15,1,5,9,2,1,1,0,1
4,5,13,370,24,1,7,19,3,3,1,0,1
4,1,21,405,11,1,1,20,36,2,2,0,1
4,1,13,80,23,1,6,23,13,3,10,1,1
4,6,13,339,24,1,7,21,56,2,1,1,1
4,2,13,370,26,1,2,16,35,1,1,0,1
4,2,13,370,31,1,7,17,7,1,10,0,1
4,2,13,370,8,1,5,20,2,3,1,1,1
4,1,13,370,9,1,6,18,27,9,99,0,1
4,3,13,370,10,1,7,13,11,1,99,0,1
4,4,13,370,11,1,1,0,12,2,1,0,1
4,1,13,80,14,1,4,21,22,3,1,0,1
4,1,13,370,17,1,7,2,27,3,1,1,1
4,1,13,200,19,1,2,18,33,3,1,1,1
4,1,13,370,22,1,5,19,57,9,99,0,1
4,3,19,530,5,2,5,9,25,1,1,0,1
4,2,7,300,7,2,7,9,11,1,1,0,1
4,2,15,268,7,2,7,20,46,2,1,0,1
4,6,5,336,9,2,2,11,25,1,1,1,1
4,1,19,530,11,2,4,20,39,2,1,0,1
4,3,3,580,12,2,5,18,30,2,1,0,1
4,1,19,530,13,2,6,16,49,1,1,0,1
4,1,13,420,15,2,1,21,5,3,1,0,1
4,1,13,368,16,2,2,23,16,2,1,0,1
4,3,19,530,17,2,3,6,30,4,1,0,1
4,1,13,420,18,2,4,11,44,1,1,0,1
4,1,19,295,18,2,4,15,46,1,1,0,1
4,3,13,190,19,2,5,19,46,2,1,0,1
4,1,13,80,20,2,6,9,36,1,1,0,1
4,4,19,530,20,2,6,15,23,1,1,0,3
4,1,13,370,20,2,6,16,1,1,10,0,1
4,3,19,530,20,2,6,18,37,2,1,1,1
4,4,19,530,22,2,1,17,30,1,1,1,1
4,3,13,290,24,2,3,7,1,4,10,0,1
4,3,21,110,25,2,4,9,47,1,1,0,1
4,2,13,370,30,1,6,7,6,3,2,0,1
4,1,13,290,24,2,3,10,36,1,1,0,1
4,1,21,180,19,2,5,20,39,2,1,0,1
4,1,13,200,4,2,4,17,19,5,1,0,1
4,8,13,370,5,2,5,8,19,1,1,0,2
4,1,13,370,6,2,6,20,10,3,1,0,1
4,2,13,370,7,2,7,18,24,5,1,0,1
4,4,13,370,7,2,7,23,24,6,99,1,1
4,2,13,370,8,2,1,12,11,1,1,0,1
4,1,13,200,8,2,1,22,5,2,1,0,1
4,1,13,370,15,2,1,1,26,3,1,1,1
4,4,13,370,15,2,1,20,46,3,1,1,1
4,1,13,370,20,2,6,1,22,6,99,0,1
4,2,13,80,23,2,2,9,55,1,1,0,1
4,2,13,370,23,2,2,10,26,1,10,0,1
4,1,13,200,24,2,3,1,25,3,1,1,1
4,2,13,370,27,2,6,7,10,4,1,0,1
4,1,13,370,28,2,7,1,22,3,1,1,1
4,1,13,370,28,2,7,18,29,5,1,0,1
4,2,13,370,2,3,2,17,12,1,10,0,1
4,6,13,420,3,3,3,16,0,1,1,0,1
4,1,13,420,4,3,4,8,48,1,1,0,1
4,1,13,420,4,3,4,23,59,3,1,1,1
4,1,13,510,5,3,5,5,16,2,1,0,1
4,5,13,490,5,3,5,19,18,3,1,1,2
4,5,13,370,5,3,5,21,53,3,1,0,1
4,2,1,150,6,3,6,1,55,2,1,1,1
4,4,15,178,9,3,2,18,50,3,1,0,1
4,1,13,370,9,3,2,20,31,3,1,0,1
4,1,19,530,12,3,5,20,51,3,1,0,1
4,2,13,368,14,3,7,2,48,2,1,1,1
4,2,21,70,15,3,1,10,51,1,1,0,1
4,1,13,370,15,3,1,17,26,5,1,1,1
4,1,13,370,16,3,2,6,49,1,1,0,1
4,5,13,290,16,3,2,17,59,5,1,1,1
4,1,15,59,17,3,3,15,45,1,1,1,1
