State,PERMVIT,DAY,MONTH,LGT_COND,WEATHER,DRUNK_DR,FATALS
1,1,2,5,3,1,1,1
1,2,22,6,3,1,0,1
1,1,7,7,3,1,0,1
1,3,2,7,3,1,0,2
1,2,7,7,1,1,0,1
1,4,8,7,1,1,0,2
1,2,28,7,3,1,1,1
1,2,29,7,4,1,0,1
1,2,29,7,2,1,0,1
1,1,23,7,1,1,1,1
1,3,25,7,3,1,1,1
1,3,28,7,1,10,0,1
1,2,19,7,1,10,0,1
1,1,1,7,1,5,0,1
1,2,1,7,3,1,0,1
1,2,14,6,2,1,0,1
1,3,11,7,1,1,0,1
1,2,17,7,1,1,0,1
1,1,19,7,1,1,0,1
1,2,25,7,1,1,0,1
1,3,6,7,5,1,0,1
1,2,1,8,1,1,0,1
1,1,26,7,2,1,0,1
1,2,7,8,1,1,0,1
1,3,7,8,1,1,0,2
1,1,4,8,1,1,0,1
1,1,5,8,1,1,0,1
1,1,12,8,1,1,0,1
1,1,13,8,3,1,0,1
1,2,14,8,1,1,1,1
1,1,14,8,3,1,0,1
1,1,2,8,3,1,1,1
1,1,14,8,1,1,1,1
1,1,24,8,1,10,0,1
1,3,22,8,2,10,1,1
1,2,12,8,9,1,0,1
1,3,13,8,1,1,1,1
1,4,5,8,1,1,0,1
1,1,23,8,3,1,0,1
1,2,24,8,1,10,0,1
1,2,26,7,1,1,0,1
1,1,14,8,1,10,0,1
1,1,31,8,1,10,0,1
1,2,3,9,1,1,0,1
1,1,8,8,1,1,0,1
1,1,6,9,1,1,0,1
1,6,1,8,1,1,0,1
1,1,29,8,2,10,1,1
1,2,4,9,3,1,0,1
1,2,7,9,1,1,0,1
1,1,19,8,3,1,0,1
1,1,28,8,2,1,0,1
1,2,29,8,1,2,0,1
1,1,3,9,3,1,0,1
1,3,5,9,3,10,1,1
1,2,10,9,1,1,0,1
1,1,10,9,1,1,1,1
1,2,13,9,3,1,1,1
1,2,13,9,2,1,0,1
1,1,14,9,2,1,1,1
1,1,14,9,2,1,0,1
1,1,16,9,3,10,0,1
1,2,19,9,3,1,1,1
1,3,4,8,2,1,0,1
1,2,3,7,2,1,1,2
1,2,18,8,1,1,0,1
1,3,31,8,1,1,0,1
1,1,19,9,2,1,0,1
1,2,18,9,3,1,1,1
1,1,20,9,2,1,0,1
1,4,24,9,1,1,0,1
1,1,4,9,2,1,1,1
1,2,14,9,1,1,0,1
1,1,23,9,3,1,0,1
1,2,24,9,1,1,0,1
1,2,26,9,3,1,0,1
1,2,30,9,3,1,0,1
1,1,1,10,1,1,0,1
1,2,2,10,1,2,0,1
1,1,2,10,3,10,0,1
1,4,4,10,1,1,0,1
1,1,8,10,2,10,0,1
1,1,9,10,3,2,0,1
1,1,9,10,1,1,0,1
1,3,9,10,1,1,0,1
1,1,10,10,2,2,0,1
1,1,10,10,2,10,0,1
1,6,11,10,2,1,1,1
1,3,21,10,3,1,1,1
1,4,18,10,1,1,0,1
1,2,16,10,2,1,0,1
1,11,21,10,1,1,0,1
1,3,25,10,5,1,0,1
1,1,26,10,3,2,0,1
1,2,27,10,2,2,0,1
1,1,30,10,3,10,0,1
1,7,31,10,2,1,1,1
1,2,1,11,9,99,0,2
1,3,4,11,1,10,0,1
1,1,12,11,1,1,0,1
1,1,9,11,2,2,0,1
1,1,9,11,1,10,0,1
1,1,9,11,2,2,0,1
1,1,22,11,3,1,0,1
1,6,10,11,2,1,0,1
1,1,8,10,3,1,0,1
1,2,8,10,1,1,1,1
1,1,11,10,1,1,0,1
1,3,17,10,2,1,1,1
1,2,17,10,3,1,0,1
1,2,4,11,3,1,0,1
1,1,6,11,1,1,0,1
1,2,7,11,2,2,0,1
1,1,8,11,3,2,1,1
1,4,12,11,1,1,0,1
1,4,15,11,1,1,1,1
1,1,28,11,2,1,0,1
1,2,20,11,2,1,0,1
1,1,20,11,3,1,1,1
1,2,27,11,3,1,0,1
1,2,6,12,2,1,0,1
1,1,8,10,6,1,0,1
